Ingredients;Foodgroup;unit_enhet;g;reference;ID;language
Medisterkaker, stekt;Kjøttprodukter;portion;150;g;385;norwegian
Pork patties, fried;Meat products;portion;150;g;385;english
Medisterkaker, stekt;Kjøttprodukter;stk;80;o;385;norwegian
Pork patties, fried;Meat products;one;80;o;385;english
Ostepanetter med kylling;Kjøttprodukter;stk;75;o;430;norwegian
Chicken schnitzel, with cheese;Meat products;one;75;o;430;english
Reinsdyrkaker, hermetisk;Kjøttprodukter;portion;150;g;496;norwegian
Reindeer meat balls, canned;Meat products;portion;150;g;496;english
Reinsdyrkaker, hermetisk;Kjøttprodukter;stk;15;ag;496;norwegian
Reindeer meat balls, canned;Meat products;one;15;ag;496;english
Wienersnitzel;Kjøttprodukter;stk;150;o;674;norwegian
Wienerschnitzel;Meat products;one;150;o;674;english
Fet fisk, rå;Fet fisk;portion;175;d;132;norwegian
Fatty fish, raw;Fatty fish;portion;175;d;132;english
Fet fisk, tilberedt;Fet fisk tilberedt;portion;150;ģ;133;norwegian
Fatty fish, prepared;Fatty fish prepared;portion;150;ģ;133;english
Laksefilet, rå;Fet fisk;portion;175;d;340;norwegian
Salmon fillet, raw;Fatty fish;portion;175;d;340;english
Laksefilet, rå;Fet fisk;stk;125;x;340;norwegian
Salmon fillet, raw;Fatty fish;one;125;x;340;english
Laksefilet, tilberedt;Fet fisk tilberedt;portion;150;ģ;341;norwegian
Salmon fillet, prepared;Fatty fish prepared;portion;150;ģ;341;english
Laksefilet, tilberedt;Fet fisk tilberedt;stk;110;d;341;norwegian
Salmon fillet, prepared;Fatty fish prepared;one;110;d;341;english
Ørretfilet, rå;Fet fisk;portion;175;f;679;norwegian
Trout fillet, raw;Fatty fish;portion;175;f;679;english
Ørretfilet, rå;Fet fisk;stk;160;o;679;norwegian
Trout fillet, raw;Fatty fish;one;160;o;679;english
Ørretfilet, tilberedt;Fet fisk tilberedt;portion;150;ģ;680;norwegian
Trout fillet, prepared;Fatty fish prepared;portion;150;ģ;680;english
Ørretfilet, tilberedt;Fet fisk tilberedt;stk;140;d;680;norwegian
Trout fillet, prepared;Fatty fish prepared;one;140;d;680;english
Lutefisk;Mager fisk;portion;500;p;358;norwegian
Cod, traditional Norwegian dish, Lutefisk;Lean fish;portion;500;p;358;english
Mager fisk, rå;Mager fisk;portion;270;d;364;norwegian
Lean fish, raw;Lean fish;portion;270;d;364;english
Mager fisk, tilberedt;Mager fisk tilberedt;portion;200;ģ;365;norwegian
Lean fish, prepared;Lean fish prepared;portion;200;ģ;365;english
Rødspette, fylt, forfritert, frossen;Mager fisk tilberedt;portion;200;ģ;533;norwegian
Plaice, filled, pre-fried, frozen;Lean fish prepared;portion;200;ģ;533;english
Rødspette, fylt, forfritert, frossen;Mager fisk tilberedt;stk;150;o;533;norwegian
Plaice, filled, pre-fried, frozen;Lean fish prepared;one;150;o;533;english
Rødspettefilet, kavringpanert, rå;Mager fisk tilberedt;portion;200;ģ;534;norwegian
Plaice fillet, rolled in breadcrumps, raw;Lean fish prepared;portion;200;ģ;534;english
Rødspettefilet, kavringpanert, rå;Mager fisk tilberedt;stk;100;o;534;norwegian
Plaice fillet, rolled in breadcrumps, raw;Lean fish prepared;one;100;o;534;english
Seibiff, panert, frossen;Mager fisk tilberedt;portion;200;ģ;547;norwegian
Saithe, rolled in flour, frozen;Lean fish prepared;portion;200;ģ;547;english
Seibiff, panert, frossen;Mager fisk tilberedt;stk;90;o;547;norwegian
Saithe, rolled in flour, frozen;Lean fish prepared;one;90;o;547;english
Torsk, forfritert, fylt, frossen;Mager fisk tilberedt;portion;200;ģ;640;norwegian
Cod, filled, pre-fried, frozen;Lean fish prepared;portion;200;ģ;640;english
Torsk, forfritert, fylt, frossen;Mager fisk tilberedt;stk;150;o;640;norwegian
Cod, filled, pre-fried, frozen;Lean fish prepared;one;150;o;640;english
Torskefilet, panert, rå;Mager fisk tilberedt;portion;200;ģ;641;norwegian
Cod fillet, rolled in flour, raw;Lean fish prepared;portion;200;ģ;641;english
Torskefilet, panert, rå;Mager fisk tilberedt;stk;100;o;641;norwegian
Cod fillet, rolled in flour, raw;Lean fish prepared;one;100;o;641;english
Torskefilet, rå;Mager fisk;portion;270;d;642;norwegian
Cod fillet, raw;Lean fish;portion;270;d;642;english
Torskefilet, rå;Mager fisk;stk;125;x;642;norwegian
Cod fillet, raw;Lean fish;one;125;x;642;english
Torskefilet, tilberedt;Mager fisk tilberedt;portion;200;ģ;643;norwegian
Cod fillet, prepared;Lean fish prepared;portion;200;ģ;643;english
Torskefilet, tilberedt;Mager fisk tilberedt;stk;90;d;643;norwegian
Cod fillet, prepared;Lean fish prepared;one;90;d;643;english
Ansjos, hermetisk;Fiskepålegg;stk;20;ag;9;norwegian
Anchovies, canned;Fish spread;one;20;ag;9;english
Brisling, hermetisk;Fiskepålegg;til en brødskive;25;ģ;49;norwegian
Sprat, canned;Fish spread;for a slice of bread;25;ģ;49;english
Gaffelbiter;Fiskepålegg;stk;5;ag;164;norwegian
Anchovy fillets, canned;Fish spread;one;5;ag;164;english
Kabaret;Fiskepålegg;skive;40;m;247;norwegian
Fish in aspic;Fish spread;slice;40;m;247;english
Kaviar;Fiskepålegg;til en brødskive;15;ģ;269;norwegian
Caviar;Fish spread;for a slice of bread;15;ģ;269;english
Kaviar;Fiskepålegg;spiseskje;15;a;269;norwegian
Caviar;Fish spread;tablespoon;15;a;269;english
Kryddersild, sursild;Fiskepålegg;til en brødskive;25;ģ;316;norwegian
Pickled herring;Fish spread;for a slice of bread;25;ģ;316;english
Laks, røkt/gravet;Fiskepålegg;skive;25;a;339;norwegian
Salmon, smoked, dry salted;Fish spread;slice;25;a;339;english
Makrell i tomat, hermetisk;Fiskepålegg;til en brødskive;40;ģ;373;norwegian
Mackerel fillet, in tomato sauce, canned;Fish spread;for a slice of bread;40;ģ;373;english
Makrell, kaldrøkt/varmrøkt;Fiskepålegg;til en brødskive;25;ģ;374;norwegian
Mackerel, cold smoked, warm smoked;Fish spread;for a slice of bread;25;ģ;374;english
Rognleverpostei;Fiskepålegg;til en brødskive;15;ģ;515;norwegian
Roe paste, canned;Fish spread;for a slice of bread;15;ģ;515;english
Ørret, røkt/gravet;Fiskepålegg;skive;20;a;678;norwegian
Trout, smoked, dry salted;Fish spread;slice;20;a;678;english
Fiskeboller;Fiskeprodukter;stk;25;a;137;norwegian
Fish balls;Fish products;one;25;a;137;english
Fiskeburger, fastfood;Fiskeprodukter;stk;130;a;138;norwegian
Fish burger, fastfood;Fish products;one;130;a;138;english
Fiskekaker;Fiskeprodukter;stk;55;o;140;norwegian
Fish cakes;Fish products;one;55;o;140;english
Fiskekarbonader;Fiskeprodukter;stk;100;o;141;norwegian
Fish patty;Fish products;one;100;o;141;english
Fiskepaté;Fiskeprodukter;skive;50;n;142;norwegian
Fish paté;Fish products;slice;50;n;142;english
Fiskepinner;Fiskeprodukter;stk;25;o;143;norwegian
Fish fingers;Fish products;one;25;o;143;english
Fiskepinner, stekt;Fiskeprodukter;stk;22;d;144;norwegian
Fish fingers, fried;Fish products;one;22;d;144;english
Fiskepudding;Fiskeprodukter;skive;40;a;145;norwegian
Fish pudding;Fish products;slice;40;a;145;english
Torskerogn;Fiskeprodukter;skive;45;ag;644;norwegian
Cod roe;Fish products;slice;45;ag;644;english
Tunfisk, hermetisk;Fiskeprodukter;desiliter;95;a;651;norwegian
Tuna, canned;Fish products;decilitre;95;a;651;english
Tunfisk, hermetisk;Fiskeprodukter;spiseskje;14;a;651;norwegian
Tuna, canned;Fish products;tablespoon;14;a;651;english
Blåskjell, hermetisk;Skalldyr;netto;8;f;42;norwegian
Mussel, canned;Shellfish;netto;8;f;42;english
Blåskjell, hermetisk;Skalldyr;desiliter;70;ag;42;norwegian
Mussel, canned;Shellfish;decilitre;70;ag;42;english
Blåskjell, rå;Skalldyr;brutto;15;ag;43;norwegian
Mussel, raw;Shellfish;brutto;15;ag;43;english
Blåskjell, rå;Skalldyr;netto;8;b;43;norwegian
Mussel, raw;Shellfish;netto;8;b;43;english
Blåskjell, rå;Skalldyr;porsjon;115;r.v;43;norwegian
Mussel, raw;Shellfish;portion;115;r.v;43;english
Blåskjell, rå;Skalldyr;desiliter;70;ag;43;norwegian
Mussel, raw;Shellfish;decilitre;70;ag;43;english
Hummer, kokt;Skalldyr tilberedt;porsjon;150;r.v;217;norwegian
Lobster, boiled;Shellfish prepared;portion;150;r.v;217;english
Kamskjell, rå;Skalldyr;brutto;10;am;258;norwegian
Scallop, raw;Shellfish;brutto;10;am;258;english
Kamskjell, rå;Skalldyr;netto;8;am;258;norwegian
Scallop, raw;Shellfish;netto;8;am;258;english
Krabbe, kokt;Skalldyr tilberedt;porsjon;150;r.v;310;norwegian
Crab, boiled;Shellfish prepared;portion;150;r.v;310;english
Krabbepinner, crabsticks;Skalldyr;netto;17;m;311;norwegian
Crab sticks;Shellfish;netto;17;m;311;english
Kreps, kokt;Skalldyr tilberedt;porsjon;150;r.v;315;norwegian
Crawfish, boiled;Shellfish prepared;portion;150;r.v;315;english
Reker, i lake;Skalldyr;desiliter;70;a;498;norwegian
Shrimps, in brine;Shellfish;decilitre;70;a;498;english
Reker, innbakt, forfritert;Skalldyr tilberedt;netto;7;a;499;norwegian
Shrimps, battered, pre-fried;Shellfish prepared;netto;7;a;499;english
Reker, innbakt, forfritert;Skalldyr tilberedt;porsjon;190;d;499;norwegian
Shrimps, battered, pre-fried;Shellfish prepared;portion;190;d;499;english
Reker, innbakt, forfritert, stekt;Skalldyr tilberedt;netto;5,5;d;500;norwegian
Shrimps, battered, pre-fried, prepared;Shellfish prepared;netto;5,5;d;500;english
Reker, innbakt, forfritert, stekt;Skalldyr tilberedt;porsjon;150;g;500;norwegian
Shrimps, battered, pre-fried, prepared;Shellfish prepared;portion;150;g;500;english
Reker, kokt;Skalldyr;porsjon;150;r.v;501;norwegian
Shrimps, boiled;Shellfish;portion;150;r.v;501;english
Snegler, hermetisk;Skalldyr;desiliter;70;m;582;norwegian
Snails, canned;Shellfish;decilitre;70;m;582;english
Østers;Skalldyr;brutto;100;am;681;norwegian
Oyster;Shellfish;brutto;100;am;681;english
Østers;Skalldyr;netto;10;b;681;norwegian
Oyster;Shellfish;netto;10;b;681;english
Bokhvetemel;Korn mel;dl;65;a;46;norwegian
Buckwheat flour;Grain flours;dl;65;a;46;english
Bokhvetemel;Korn mel;ms;10;a;46;norwegian
Buckwheat flour;Grain flours;ms;10;a;46;english
Bokhvetemel;Korn mel;tbsp;11;f;46;norwegian
Buckwheat flour;Grain flours;tbsp;11;f;46;english
Bokhvetemel;Korn mel;tsp;4,5;f;46;norwegian
Buckwheat flour;Grain flours;tsp;4,5;f;46;english
Byggmel;Korn mel;dl;60;a;60;norwegian
Barley flour;Grain flours;dl;60;a;60;english
Byggmel;Korn mel;ms;9;a;60;norwegian
Barley flour;Grain flours;ms;9;a;60;english
Byggmel;Korn mel;tbsp;9;a;60;norwegian
Barley flour;Grain flours;tbsp;9;a;60;english
Byggmel;Korn mel;tsp;4;a;60;norwegian
Barley flour;Grain flours;tsp;4;a;60;english
Finbakstmel;Korn mel;dl;65;a;136;norwegian
Wheat flour, cake flour;Grain flours;dl;65;a;136;english
Finbakstmel;Korn mel;ms;10;a;136;norwegian
Wheat flour, cake flour;Grain flours;ms;10;a;136;english
Finbakstmel;Korn mel;tbsp;11;a;136;norwegian
Wheat flour, cake flour;Grain flours;tbsp;11;a;136;english
Finbakstmel;Korn mel;tsp;4,5;a;136;norwegian
Wheat flour, cake flour;Grain flours;tsp;4,5;a;136;english
Glutenfri fin kakemiks;Korn mel;dl;40;f;170;norwegian
Gluten-free cake mix;Grain flours;dl;40;f;170;english
Glutenfri fin kakemiks;Korn mel;ms;7;f;170;norwegian
Gluten-free cake mix;Grain flours;ms;7;f;170;english
Glutenfri fin kakemiks;Korn mel;tbsp;8;f;170;norwegian
Gluten-free cake mix;Grain flours;tbsp;8;f;170;english
Glutenfri fin kakemiks;Korn mel;tsp;3,5;f;170;norwegian
Gluten-free cake mix;Grain flours;tsp;3,5;f;170;english
Glutenfritt mel, grovt;Korn mel;dl;45;a;177;norwegian
Gluten-free flour, wholemeal;Grain flours;dl;45;a;177;english
Glutenfritt mel, grovt;Korn mel;ms;8;a;177;norwegian
Gluten-free flour, wholemeal;Grain flours;ms;8;a;177;english
Glutenfritt mel, grovt;Korn mel;tbsp;9;a;177;norwegian
Gluten-free flour, wholemeal;Grain flours;tbsp;9;a;177;english
Glutenfritt mel, grovt;Korn mel;tsp;4;a;177;norwegian
Gluten-free flour, wholemeal;Grain flours;tsp;4;a;177;english
Glutenfritt mel, lyst;Korn mel;dl;40;a;178;norwegian
Gluten-free flour, white;Grain flours;dl;40;a;178;english
Glutenfritt mel, lyst;Korn mel;ms;7;a;178;norwegian
Gluten-free flour, white;Grain flours;ms;7;a;178;english
Glutenfritt mel, lyst;Korn mel;tbsp;8;a;178;norwegian
Gluten-free flour, white;Grain flours;tbsp;8;a;178;english
Glutenfritt mel, lyst;Korn mel;tsp;3,5;a;178;norwegian
Gluten-free flour, white;Grain flours;tsp;3,5;a;178;english
Grovbakstmel;Korn mel;dl;65;a;188;norwegian
Wholemeal flour;Grain flours;dl;65;a;188;english
Grovbakstmel;Korn mel;ms;10;a;188;norwegian
Wholemeal flour;Grain flours;ms;10;a;188;english
Grovbakstmel;Korn mel;tbsp;11;a;188;norwegian
Wholemeal flour;Grain flours;tbsp;11;a;188;english
Grovbakstmel;Korn mel;tsp;4,5;a;188;norwegian
Wholemeal flour;Grain flours;tsp;4,5;a;188;english
Havrekli;Korn mel;dl;50;a;210;norwegian
Oatbran;Grain flours;dl;50;a;210;english
Havrekli;Korn mel;ms;7;a;210;norwegian
Oatbran;Grain flours;ms;7;a;210;english
Havrekli;Korn mel;tbsp;7;a;210;norwegian
Oatbran;Grain flours;tbsp;7;a;210;english
Havrekli;Korn mel;tsp;3;a;210;norwegian
Oatbran;Grain flours;tsp;3;a;210;english
Havremel;Korn mel;dl;55;a;211;norwegian
Oatmeal;Grain flours;dl;55;a;211;english
Havremel;Korn mel;ms;7;a;211;norwegian
Oatmeal;Grain flours;ms;7;a;211;english
Havremel;Korn mel;tbsp;7;a;211;norwegian
Oatmeal;Grain flours;tbsp;7;a;211;english
Havremel;Korn mel;tsp;3;a;211;norwegian
Oatmeal;Grain flours;tsp;3;a;211;english
Hvetekim;Korn mel;dl;35;a;223;norwegian
Wheatgerm;Grain flours;dl;35;a;223;english
Hvetekim;Korn mel;ms;5;a;223;norwegian
Wheatgerm;Grain flours;ms;5;a;223;english
Hvetekim;Korn mel;tbsp;5;a;223;norwegian
Wheatgerm;Grain flours;tbsp;5;a;223;english
Hvetekim;Korn mel;tsp;2;a;223;norwegian
Wheatgerm;Grain flours;tsp;2;a;223;english
Hvetekli;Korn mel;dl;25;a;224;norwegian
Wheatbran;Grain flours;dl;25;a;224;english
Hvetekli;Korn mel;ms;4;a;224;norwegian
Wheatbran;Grain flours;ms;4;a;224;english
Hvetekli;Korn mel;tbsp;3,5;a;224;norwegian
Wheatbran;Grain flours;tbsp;3,5;a;224;english
Hvetekli;Korn mel;tsp;1,5;a;224;norwegian
Wheatbran;Grain flours;tsp;1,5;a;224;english
Hvetemel, sammalt;Korn mel;dl;60;a;225;norwegian
Wheat flour, wholemeal;Grain flours;dl;60;a;225;english
Hvetemel, sammalt;Korn mel;ms;9;a;225;norwegian
Wheat flour, wholemeal;Grain flours;ms;9;a;225;english
Hvetemel, sammalt;Korn mel;tbsp;9;a;225;norwegian
Wheat flour, wholemeal;Grain flours;tbsp;9;a;225;english
Hvetemel, sammalt;Korn mel;tsp;3,5;a;225;norwegian
Wheat flour, wholemeal;Grain flours;tsp;3,5;a;225;english
Hvetemel, siktet;Korn mel;dl;55;a;226;norwegian
Wheat flour;Grain flours;dl;55;a;226;english
Hvetemel, siktet;Korn mel;ms;9;a;226;norwegian
Wheat flour;Grain flours;ms;9;a;226;english
Hvetemel, siktet;Korn mel;tbsp;9;a;226;norwegian
Wheat flour;Grain flours;tbsp;9;a;226;english
Hvetemel, siktet;Korn mel;tsp;4;a;226;norwegian
Wheat flour;Grain flours;tsp;4;a;226;english
Maismel, polenta;Korn mel;dl;65;a;367;norwegian
Cornmeal, polenta;Grain flours;dl;65;a;367;english
Maismel, polenta;Korn mel;ms;12;a;367;norwegian
Cornmeal, polenta;Grain flours;ms;12;a;367;english
Maismel, polenta;Korn mel;tbsp;12;a;367;norwegian
Cornmeal, polenta;Grain flours;tbsp;12;a;367;english
Maismel, polenta;Korn mel;tsp;4,5;a;367;norwegian
Cornmeal, polenta;Grain flours;tsp;4,5;a;367;english
Maisstivelse;Korn mel;dl;60;a;368;norwegian
Corn starch;Grain flours;dl;60;a;368;english
Maisstivelse;Korn mel;ms;9;a;368;norwegian
Corn starch;Grain flours;ms;9;a;368;english
Maisstivelse;Korn mel;tbsp;9;a;368;norwegian
Corn starch;Grain flours;tbsp;9;a;368;english
Maisstivelse;Korn mel;tsp;3,5;a;368;norwegian
Corn starch;Grain flours;tsp;3,5;a;368;english
Potetmel, potetstivelse;Korn mel;dl;70;a;471;norwegian
Potato starch;Grain flours;dl;70;a;471;english
Potetmel, potetstivelse;Korn mel;ms;11;a;471;norwegian
Potato starch;Grain flours;ms;11;a;471;english
Potetmel, potetstivelse;Korn mel;tbsp;11;a;471;norwegian
Potato starch;Grain flours;tbsp;11;a;471;english
Potetmel, potetstivelse;Korn mel;tsp;4,5;a;471;norwegian
Potato starch;Grain flours;tsp;4,5;a;471;english
Rismel;Korn mel;dl;70;a;508;norwegian
Rice flour;Grain flours;dl;70;a;508;english
Rismel;Korn mel;ms;11;f;508;norwegian
Rice flour;Grain flours;ms;11;f;508;english
Rismel;Korn mel;tbsp;11;f;508;norwegian
Rice flour;Grain flours;tbsp;11;f;508;english
Rismel;Korn mel;tsp;4,5;f;508;norwegian
Rice flour;Grain flours;tsp;4,5;f;508;english
Rugmel, sammalt;Korn mel;dl;55;a;523;norwegian
Rye flour, wholemeal;Grain flours;dl;55;a;523;english
Rugmel, sammalt;Korn mel;ms;9;a;523;norwegian
Rye flour, wholemeal;Grain flours;ms;9;a;523;english
Rugmel, sammalt;Korn mel;tbsp;9;a;523;norwegian
Rye flour, wholemeal;Grain flours;tbsp;9;a;523;english
Rugmel, sammalt;Korn mel;tsp;4;a;523;norwegian
Rye flour, wholemeal;Grain flours;tsp;4;a;523;english
Rugmel, siktet;Korn mel;dl;50;a;524;norwegian
Rye flour;Grain flours;dl;50;a;524;english
Rugmel, siktet;Korn mel;ms;9;a;524;norwegian
Rye flour;Grain flours;ms;9;a;524;english
Rugmel, siktet;Korn mel;tbsp;9;a;524;norwegian
Rye flour;Grain flours;tbsp;9;a;524;english
Rugmel, siktet;Korn mel;tsp;4;a;524;norwegian
Rye flour;Grain flours;tsp;4;a;524;english
Soyamel;Korn mel;dl;45;a;595;norwegian
Soy flour;Grain flours;dl;45;a;595;english
Soyamel;Korn mel;ms;8;a;595;norwegian
Soy flour;Grain flours;ms;8;a;595;english
Soyamel;Korn mel;tbsp;9;f;595;norwegian
Soy flour;Grain flours;tbsp;9;f;595;english
Soyamel;Korn mel;tsp;4;f;595;norwegian
Soy flour;Grain flours;tsp;4;f;595;english
Bokhvete, hele korn;Gryn;dl;75;a;45;norwegian
Buckwheat, grain;Grains;dl;75;a;45;english
Bokhvete, hele korn;Gryn;ms;12;a;45;norwegian
Buckwheat, grain;Grains;ms;12;a;45;english
Bokhvete, hele korn;Gryn;tbsp;10;a;45;norwegian
Buckwheat, grain;Grains;tbsp;10;a;45;english
Bulgurgryn, kokt;Gryn;porsjon;225;d;57;norwegian
Bulgur, cooked;Grains;portion;225;d;57;english
Bulgurgryn, tørr;Gryn;dl;80;a;58;norwegian
Bulgur, uncooked;Grains;dl;80;a;58;english
Bulgurgryn, tørr;Gryn;ms;13;a;58;norwegian
Bulgur, uncooked;Grains;ms;13;a;58;english
Bulgurgryn, tørr;Gryn;tbsp;13;a;58;norwegian
Bulgur, uncooked;Grains;tbsp;13;a;58;english
Bulgurgryn, tørr;Gryn;porsjon;75;f;58;norwegian
Bulgur, uncooked;Grains;portion;75;f;58;english
Byggryn;Gryn;dl;80;a;61;norwegian
Pearl barley;Grains;dl;80;a;61;english
Byggryn;Gryn;ms;13;a;61;norwegian
Pearl barley;Grains;ms;13;a;61;english
Byggryn;Gryn;tbsp;13;a;61;norwegian
Pearl barley;Grains;tbsp;13;a;61;english
Couscous, kokt;Gryn;porsjon;190;d;86;norwegian
Couscous, cooked;Grains;portion;190;d;86;english
Couscous, tørr;Gryn;dl;75;a;87;norwegian
Couscous, uncooked;Grains;dl;75;a;87;english
Couscous, tørr;Gryn;ms;11;a;87;norwegian
Couscous, uncooked;Grains;ms;11;a;87;english
Couscous, tørr;Gryn;tbsp;11;a;87;norwegian
Couscous, uncooked;Grains;tbsp;11;a;87;english
Couscous, tørr;Gryn;porsjon;75;v;87;norwegian
Couscous, uncooked;Grains;portion;75;v;87;english
Havregryn;Gryn;dl;40;a;209;norwegian
Rolled oats;Grains;dl;40;a;209;english
Havregryn;Gryn;ms;5;a;209;norwegian
Rolled oats;Grains;ms;5;a;209;english
Havregryn;Gryn;tbsp;6;a;209;norwegian
Rolled oats;Grains;tbsp;6;a;209;english
Havregryn;Gryn;porsjon;100;ģ;209;norwegian
Rolled oats;Grains;portion;100;ģ;209;english
Hirse, hele korn;Gryn;dl;80;am;213;norwegian
Millet, grain;Grains;dl;80;am;213;english
Hirse, hele korn;Gryn;ms;13;f;213;norwegian
Millet, grain;Grains;ms;13;f;213;english
Hirse, hele korn;Gryn;tbsp;12;am;213;norwegian
Millet, grain;Grains;tbsp;12;am;213;english
Hvete, hele korn;Gryn;dl;60;a;220;norwegian
Wheat, grain;Grains;dl;60;a;220;english
Hvete, hele korn;Gryn;ms;9;a;220;norwegian
Wheat, grain;Grains;ms;9;a;220;english
Hvete, hele korn;Gryn;tbsp;9;a;220;norwegian
Wheat, grain;Grains;tbsp;9;a;220;english
Quinoa, kokt;Gryn;porsjon;185;d;489;norwegian
Quinoa, cooked;Grains;portion;185;d;489;english
Quinoa, tørr;Gryn;dl;70;a;490;norwegian
Quinoa, uncooked;Grains;dl;70;a;490;english
Quinoa, tørr;Gryn;ms;11;a;490;norwegian
Quinoa, uncooked;Grains;ms;11;a;490;english
Quinoa, tørr;Gryn;tbsp;11;a;490;norwegian
Quinoa, uncooked;Grains;tbsp;11;a;490;english
Quinoa, tørr;Gryn;porsjon;75;v;490;norwegian
Quinoa, uncooked;Grains;portion;75;v;490;english
Semulegryn, hvetegryn;Gryn;dl;70;a;549;norwegian
Semolina, wheat meal;Grains;dl;70;a;549;english
Semulegryn, hvetegryn;Gryn;ms;10;a;549;norwegian
Semolina, wheat meal;Grains;ms;10;a;549;english
Semulegryn, hvetegryn;Gryn;tbsp;10;a;549;norwegian
Semolina, wheat meal;Grains;tbsp;10;a;549;english
Sorghum;Gryn;dl;75;f;592;norwegian
Sorghum;Grains;dl;75;f;592;english
Sorghum;Gryn;ms;12;f;592;norwegian
Sorghum;Grains;ms;12;f;592;english
Sorghum;Gryn;tbsp;10;f;592;norwegian
Sorghum;Grains;tbsp;10;f;592;english
Fersk pasta;Pasta ris nuddler;portion;110;d;126;norwegian
Fresh pasta;Pasta rice noodles;portion;110;d;126;english
Fersk pasta, kokt;Pasta ris nuddler;portion;195;ģ;127;norwegian
Fresh pasta, cooked;Pasta rice noodles;portion;195;ģ;127;english
Fersk pasta, Ravioli;Pasta ris nuddler;desiliter;35;a;128;norwegian
Fresh pasta, Ravioli;Pasta rice noodles;decilitre;35;a;128;english
Fersk pasta, Ravioli;Pasta ris nuddler;stk;3,5;a;128;norwegian
Fresh pasta, Ravioli;Pasta rice noodles;one;3,5;a;128;english
Fersk pasta, Tortellini;Pasta ris nuddler;desiliter;45;a;129;norwegian
Fresh pasta, Tortellini;Pasta rice noodles;decilitre;45;a;129;english
Fersk pasta, Tortellini;Pasta ris nuddler;stk;5;a;129;norwegian
Fresh pasta, Tortellini;Pasta rice noodles;one;5;a;129;english
Fullkornpasta, kokt;Pasta ris nuddler;portion;195;ģ;159;norwegian
Whole-grain pasta, cooked;Pasta rice noodles;portion;195;ģ;159;english
Fullkornpasta, tørr;Pasta ris nuddler;portion;85;d;160;norwegian
Whole-grain pasta, uncooked;Pasta rice noodles;portion;85;d;160;english
Fullkornpasta, tørr;Pasta ris nuddler;desiliter;30;f;160;norwegian
Whole-grain pasta, uncooked;Pasta rice noodles;decilitre;30;f;160;english
Grøtris;Pasta ris nuddler;desiliter;90;a;195;norwegian
Porridge rice;Pasta rice noodles;decilitre;90;a;195;english
Hurtigris, kokt;Pasta ris nuddler;portion;160;ģ;218;norwegian
Pre-boiled rice, cooked;Pasta rice noodles;portion;160;ģ;218;english
Hurtigris, tørr;Pasta ris nuddler;desiliter;50;a;219;norwegian
Pre-boiled rice, uncooked;Pasta rice noodles;decilitre;50;a;219;english
Lasagneplater, kokt;Pasta ris nuddler;stk;45;d;345;norwegian
Lasagne sheets, cooked;Pasta rice noodles;one;45;d;345;english
Lasagneplater, tørr;Pasta ris nuddler;stk;17;a;346;norwegian
Lasagne sheets, uncooked;Pasta rice noodles;one;17;a;346;english
Makaroni, kokt;Pasta ris nuddler;portion;195;ģ;371;norwegian
Macaroni, cooked;Pasta rice noodles;portion;195;ģ;371;english
Makaroni, tørr;Pasta ris nuddler;portion;75;d;372;norwegian
Macaroni, uncooked;Pasta rice noodles;portion;75;d;372;english
Makaroni, tørr;Pasta ris nuddler;desiliter;40;a;372;norwegian
Macaroni, uncooked;Pasta rice noodles;decilitre;40;a;372;english
Nudler, med egg, kokt;Pasta ris nuddler;portion;220;d;418;norwegian
Egg noodles, cooked;Pasta rice noodles;portion;220;d;418;english
Nudler, med egg, tørr;Pasta ris nuddler;portion;85;ģ;419;norwegian
Egg noodles, uncooked;Pasta rice noodles;portion;85;ģ;419;english
Nudler, uten egg, kokt;Pasta ris nuddler;portion;180;d;420;norwegian
Noodles, without egg, cooked;Pasta rice noodles;portion;180;d;420;english
Nudler, uten egg, tørr;Pasta ris nuddler;portion;85;ģ;421;norwegian
Noodles, without egg, uncooked;Pasta rice noodles;portion;85;ģ;421;english
Pasta, kokt;Pasta ris nuddler;portion;195;ģ;441;norwegian
Pasta, cooked;Pasta rice noodles;portion;195;ģ;441;english
Pasta, tørr;Pasta ris nuddler;portion;75;d;442;norwegian
Pasta, uncooked;Pasta rice noodles;portion;75;d;442;english
Pasta, tørr;Pasta ris nuddler;desiliter;30;a;442;norwegian
Pasta, uncooked;Pasta rice noodles;decilitre;30;a;442;english
Ris, kokt;Pasta ris nuddler;portion;160;ģ;504;norwegian
Rice, cooked;Pasta rice noodles;portion;160;ģ;504;english
Ris, tørr;Pasta ris nuddler;portion;55;d;505;norwegian
Rice, uncooked;Pasta rice noodles;portion;55;d;505;english
Ris, tørr;Pasta ris nuddler;desiliter;80;a;505;norwegian
Rice, uncooked;Pasta rice noodles;decilitre;80;a;505;english
Spagetti, kokt;Pasta ris nuddler;portion;195;ģ;598;norwegian
Spaghetti, cooked;Pasta rice noodles;portion;195;ģ;598;english
Spagetti, tørr;Pasta ris nuddler;portion;65;d;599;norwegian
Spaghetti, uncooked;Pasta rice noodles;portion;65;d;599;english
Corn flakes;Korn frokostblanding;dl;14;a;83;norwegian
Corn flakes;Grain breakfast cereal;dl;14;a;83;english
Corn flakes;Korn frokostblanding;tbsp;3;a;83;norwegian
Corn flakes;Grain breakfast cereal;tbsp;3;a;83;english
Corn flakes;Korn frokostblanding;portion;35;ģ;83;norwegian
Corn flakes;Grain breakfast cereal;portion;35;ģ;83;english
